Z,X,Y,bank,eightpack,eightpack vertice idx
-1.747049,1.106642,-0.524239,4,11,3
-1.745126,1.106949,0.520604,4,11,2
-1.74086,1.116259,-0.523797,4,12,0
-1.738711,1.116529,0.520859,4,12,1
-1.722689,1.143916,-0.523858,4,12,3
-1.720514,1.144183,0.520778,4,12,2
-1.716173,1.153836,-0.523951,4,13,0
-1.714082,1.154105,0.520791,4,13,1
-1.697406,1.181092,-0.524015,4,13,3
-1.695351,1.181401,0.520708,4,13,2
-1.690765,1.190581,-0.523958,4,14,0
-1.688788,1.19079,0.520881,4,14,1
-1.67148,1.217473,-0.524017,4,14,3
-1.669476,1.217677,0.520802,4,14,2
-1.664508,1.226936,-0.523873,4,15,0
-1.6625,1.226825,0.520928,4,15,1
-1.644614,1.253381,-0.523926,4,15,3
-1.642599,1.253279,0.520855,4,15,2
-1.637449,1.262654,-0.523936,4,16,0
-1.63548,1.262637,0.52095,4,16,1
-1.617015,1.288684,-0.523993,4,16,3
-1.615056,1.28869,0.520874,4,16,2
-1.609819,1.297736,-0.523941,4,17,0
-1.608297,1.297475,0.520918,4,17,1
-1.588834,1.323324,-0.523982,4,17,3
-1.587271,1.323044,0.520857,4,17,2
-1.581401,1.332375,-0.523667,4,18,0
-1.580067,1.331517,0.521038,4,18,1
-1.559877,1.357513,-0.523691,4,18,3
-1.558521,1.35665,0.520994,4,18,2
-1.915153,-0.638811,-0.387785,5,1,0
-1.915129,-0.638113,0.384104,5,1,1
-1.927812,-0.608235,-0.387804,5,1,3
-1.927406,-0.60737,0.384003,5,1,2
-1.897918,-0.679152,-0.388291,5,2,0
-1.898217,-0.67887,0.385343,5,2,1
-1.910686,-0.648622,-0.388279,5,2,3
-1.910875,-0.648282,0.385203,5,2,2
-1.880887,-0.719197,-0.387687,5,3,0
-1.881233,-0.719346,0.384561,5,3,1
-1.893585,-0.688638,-0.387709,5,3,3
-1.893918,-0.688769,0.384544,5,3,2
-1.863584,-0.759548,-0.387634,5,4,0
-1.862713,-0.758734,0.384176,5,4,1
-1.876529,-0.729092,-0.38758,5,4,3
-1.876611,-0.728688,0.38407,5,4,2
-1.846538,-0.80005,-0.388309,5,5,0
-1.846857,-0.800105,0.384723,5,5,1
-1.859395,-0.769557,-0.388399,5,5,3
-1.859263,-0.769413,0.384577,5,5,2
-1.826925,-0.838682,-0.387764,5,6,0
-1.830072,-0.840408,0.384603,5,6,1
-1.841525,-0.808984,-0.38775,5,6,3
-1.84307,-0.809963,0.384645,5,6,2
-1.811856,-0.881601,-0.387688,5,7,0
-1.812767,-0.881556,0.385093,5,7,1
-1.823712,-0.850705,-0.387732,5,7,3
-1.825626,-0.851051,0.385116,5,7,2
-1.79445,-0.921505,-0.38807,5,8,0
-1.795421,-0.921513,0.384974,5,8,1
-1.807188,-0.890962,-0.388148,5,8,3
-1.808333,-0.891031,0.384987,5,8,2
-1.776641,-0.962835,-0.388057,5,9,0
-1.777997,-0.962503,0.384705,5,9,1
-1.78925,-0.932239,-0.387992,5,9,3
-1.790477,-0.931841,0.384647,5,9,2
1.0903033728358118,-1.805334508388207,-0.5480475,6,1,0
1.0903033728358118,-1.805334508388207,0.5480475,6,1,1
1.061861733414134,-1.822208492765075,-0.5480475,6,1,3
1.061861733414134,-1.822208492765075,0.5480475,6,1,2
1.054934700116687,-1.8262275078653676,-0.5480475,6,2,0
1.054934700116687,-1.8262275078653676,0.5480475,6,2,1
1.0261698071595846,-1.8425443437997622,-0.5480475,6,2,3
1.0261698071595846,-1.8425443437997622,0.5480475,6,2,2
1.019165810914063,-1.8464276811882767,-0.5480475,6,3,0
1.019165810914063,-1.8464276811882767,0.5480475,6,3,1
0.9900885771200244,-1.8621811784707958,-0.5480475,6,3,3
0.9900885771200244,-1.8621811784707958,0.5480475,6,3,2
0.9830102750716968,-1.865927364904085,-0.5480475,6,4,0
0.9830102750716968,-1.865927364904085,0.5480475,6,4,1
0.9536317316337027,-1.8811115470422646,-0.5480475,6,4,3
0.9536317316337027,-1.8811115470422646,0.5480475,6,4,2
0.9464818091176479,-1.8847191613086072,-0.5480475,6,5,0
0.9464818091176479,-1.8847191613086072,0.5480475,6,5,1
0.9168131015382054,-1.899328267794257,-0.5480475,6,5,3
