DETECTOR PointName Z X Y
Det60_1U  18.455905 0.744955 0.227415
Det60_2U  18.454286 0.781951 0.038736
Det60_1D  19.421271 0.997933 0.072790
Det60_2D  19.422890 0.960936 0.261468
Det61_1U  18.454620 0.772874 -0.001513
Det61_2U  18.452376 0.755075 -0.192952
Det61_1D  19.419817 0.969430 -0.224224
Det61_2D  19.422061 0.987229 -0.032785
Det62_1U  18.455251 0.747285 -0.228053
Det62_2U  18.453619 0.673938 -0.405784
Det62_1D  19.420851 0.871762 -0.496308
Det62_2D  19.422484 0.945109 -0.318577
Det63_1U  18.451670 0.650268 -0.442915
Det63_2U  18.452005 0.525545 -0.589254
Det63_1D  19.420150 0.689093 -0.726425
Det63_2D  19.419815 0.813815 -0.580086
