Point,Z,X,Y,,,,,,
B4_D17T8B,-1.588834,1.323324,-0.523982,,,,,,
B4_D17T8T,-1.587271,1.323044,0.520857,,,,,,
B4_D18T2B,-1.581401,1.332375,-0.523667,,,,,,
B4_D18T2T,-1.580067,1.331517,0.521038,,,,,,
B4_D18T8B,-1.559877,1.357513,-0.523691,,,,,,
B4_D18T8T,-1.558521,1.356650,0.520994,,,,,,
B5_D1T2B,-1.915153,-0.638811,-0.387785,,,,,,
B5_D1T2T,-1.915129,-0.638113,0.384104,,,,,,
B5_D1T8B,-1.927812,-0.608235,-0.387804,,,,,,
B5_D1T8T,-1.927406,-0.607370,0.384003,,,,,,
B5_D2T2B,-1.897918,-0.679152,-0.388291,,,,,,
B5_D2T2T,-1.898217,-0.678870,0.385343,,,,,,
B5_D2T8B,-1.910686,-0.648622,-0.388279,,,,,,
B5_D2T8T,-1.910875,-0.648282,0.385203,,,,,,
B5_D3T2B,-1.880887,-0.719197,-0.387687,,,,,,
B5_D3T2T,-1.881233,-0.719346,0.384561,,,,,,
B5_D3T8B,-1.893585,-0.688638,-0.387709,,,,,,
B5_D3T8T,-1.893918,-0.688769,0.384544,,,,,,
B5_D4T2B,-1.863584,-0.759548,-0.387634,,,,,,
B5_D4T2T,-1.862713,-0.758734,0.384176,,,,,,
B5_D4T8B,-1.876529,-0.729092,-0.387580,,,,,,
B5_D4T8T,-1.876611,-0.728688,0.384070,,,,,,
B5_D5T2B,-1.846538,-0.800050,-0.388309,,,,,,
B5_D5T2T,-1.846857,-0.800105,0.384723,,,,,,
B5_D5T8B,-1.859395,-0.769557,-0.388399,,,,,,
B5_D5T8T,-1.859263,-0.769413,0.384577,,,,,,
B5_D6T2B,-1.826925,-0.838682,-0.387764,,,,,,
B5_D6T2T,-1.830072,-0.840408,0.384603,,,,,,
B5_D6T8B,-1.841525,-0.808984,-0.387750,,,,,,
B5_D6T8T,-1.843070,-0.809963,0.384645,,,,,,
B5_D7T2B,-1.811856,-0.881601,-0.387688,,,,,,
B5_D7T2T,-1.812767,-0.881556,0.385093,,,,,,
B5_D7T8B,-1.823712,-0.850705,-0.387732,,,,,,
B5_D7T8T,-1.825626,-0.851051,0.385116,,,,,,
B5_D8T2B,-1.794450,-0.921505,-0.388070,,,,,,
B5_D8T2T,-1.795421,-0.921513,0.384974,,,,,,
B5_D8T8B,-1.807188,-0.890962,-0.388148,,,,,,
B5_D8T8T,-1.808333,-0.891031,0.384987,,,,,,
B5_D9T2B,-1.776641,-0.962835,-0.388057,,,,,,
B5_D9T2T,-1.777997,-0.962503,0.384705,,,,,,
B5_D9T8B,-1.789250,-0.932239,-0.387992,,,,,,
B5_D9T8T,-1.790477,-0.931841,0.384647,,,,,,
